user_id,recommendations,recommended_categories,purchased_products,purchased_categories,precision@k
3,"[184, 5369, 6136, 7693, 7215]","['Kitchen', 'Food', 'Home']","[9, 6, 4, 6, 10, 14]","['Kitchen', 'Food', 'Home']",0.95
4,"[140, 4372, 6136, 7693, 7215]","['Fitness', 'Kitchen', 'Food']","[15, 11, 2, 3, 7, 16, 4, 2]","['Fitness', 'Kitchen', 'Food']",0.95
5,"[6136, 5369, 4372, 813, 7693]","['Toys', 'Home', 'Fitness', 'Kitchen', 'Food']","[4, 7, 14, 7, 11, 15, 1, 9]","['Toys', 'Home', 'Fitness', 'Kitchen', 'Food']",0.95
6,"[130, 6136, 7215, 159, 8138]","['Electronics', 'Food']",[3],['Food'],0.9500000000000001
7,"[6136, 813, 7215, 4727, 2277]","['Food', 'Toys']","[1, 3]","['Food', 'Toys']",1.0
8,"[184, 159, 130, 6136, 7693]","['Kitchen', 'Electronics', 'Food']","[3, 2]","['Kitchen', 'Food']",1.0
9,"[159, 129, 6136, 4372, 813]","['Fitness', 'Electronics', 'Toys', 'Food']","[10, 11, 9, 8, 13, 13, 1, 11, 10, 12]","['Toys', 'Smart Home', 'Fitness', 'Food', 'Electronics']",0.95
10,"[813, 4727, 4720, 9447, 3910]",['Toys'],[1],['Toys'],1.0
11,"[140, 6136, 5369, 7693, 7215]","['Kitchen', 'Food', 'Home']","[4, 2, 14, 4, 14, 10, 7, 15, 10, 2]","['Kitchen', 'Food', 'Home']",0.95
12,"[140, 6136, 813, 7693, 4439]","['Kitchen', 'Audio', 'Food', 'Toys']","[6, 7, 1, 5, 7, 9, 4, 9]","['Kitchen', 'Audio', 'Food', 'Toys']",0.95
13,"[184, 6136, 140, 813, 4439]","['Kitchen', 'Audio', 'Food', 'Toys']","[7, 6, 12, 6, 15, 10, 5, 1, 4]","['Kitchen', 'Audio', 'Food', 'Toys']",0.95
14,"[140, 813, 6136, 4727, 7215]","['Kitchen', 'Food', 'Toys']","[3, 1]","['Food', 'Toys']",1.0
15,"[124, 130, 6136, 4372, 813]","['Fitness', 'Electronics', 'Toys', 'Food']","[6, 13, 1, 11, 11, 11, 10, 10, 9, 5]","['Electronics', 'Toys', 'Fitness', 'Food', 'Audio']",0.95
24,"[6136, 5369, 7693, 3160, 7215]","['Kitchen', 'Electronics', 'Food', 'Home']","[2, 14, 13, 4, 2, 2, 12]","['Kitchen', 'Electronics', 'Home', 'Food']",0.95
25,"[6136, 7215, 2277, 8138, 9599]",['Food'],[10],['Food'],0.95
28,"[193, 6136, 813, 4727, 7215]","['Food', 'Toys', 'Smart Home']","[3, 1]","['Food', 'Toys']",1.0
32,"[813, 4727, 4720, 9447, 3910]",['Toys'],[1],['Toys'],1.0
35,"[6136, 7215, 2277, 8138, 9599]",['Food'],[6],['Food'],0.95
37,"[6136, 7215, 2277, 8138, 9599]",['Food'],[9],['Food'],0.95
39,"[130, 6136, 124, 7215, 2277]","['Electronics', 'Food']","[3, 3]",['Food'],0.9500000000000001
42,"[193, 72, 6136, 3337, 7693]","['Kitchen', 'Food', 'Smart Home']","[3, 12, 12, 2, 7, 8]","['Kitchen', 'Food', 'Smart Home']",0.95
43,"[6136, 7215, 2277, 8138, 9599]",['Food'],[10],['Food'],0.95
45,"[72, 140, 6136, 7693, 3455]","['Kitchen', 'Food']","[3, 2]","['Kitchen', 'Food']",1.0
47,"[6136, 3337, 4439, 7215, 193]","['Audio', 'Food', 'Smart Home']","[10, 8, 5]","['Audio', 'Food', 'Smart Home']",0.95
49,"[6136, 4372, 4439, 7693, 184]","['Fitness', 'Kitchen', 'Audio', 'Food']","[4, 5, 4, 4, 5, 6, 15, 5, 11]","['Fitness', 'Kitchen', 'Audio', 'Food']",0.95
54,"[813, 4727, 4720, 9447, 3910]",['Toys'],[1],['Toys'],1.0
55,"[7693, 9921, 3455, 9504, 7500]",['Kitchen'],[2],['Kitchen'],0.95
